,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,label
0,1,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,c
1,1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,c
2,1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,c
3,2,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,c
4,1,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,c
5,1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,c
6,3,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,c
7,3,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025,c
8,1,0.595,0.475,0.17,1.247,0.48,0.225,0.425,c
9,1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,c
10,2,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58,c
11,2,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,c
12,2,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,c
13,2,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41,c
14,2,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,c
15,3,0.17,0.13,0.095,0.03,0.013000000000000001,0.008,0.01,c
16,2,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,c
17,1,0.725,0.56,0.21,2.141,0.65,0.39799999999999996,1.005,c
18,1,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,c
19,1,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,c
20,1,0.68,0.57,0.205,1.8419999999999999,0.625,0.408,0.65,c
21,3,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,c
22,2,0.64,0.51,0.175,1.368,0.515,0.266,0.57,c
23,2,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,c
24,2,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,c
25,3,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,c
26,3,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004,c
27,3,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,c
28,2,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,c
